schid,grades2015,percmin2015,enroll2015,enrolldist2015,lowinc2015,act2015school,actscore2015district,actscore2015state
050160230022001,PK K 1,38.3,389,"1,571",40.9,,,20.5
050160230022004,2 3,29.9,301,"1,571",38.5,,,20.5
050160230022005,4 5,34.3,364,"1,571",36.3,,,20.5
050160250021014,6 7 8,16.5,868,"5,364",6.6,,,20.5
050160250021015,6 7 8,19.1,922,"5,364",4.7,,,20.5
050160250022002,K 1 2 3 4 5,18.4,511,"5,364",2.0,,,20.5
050160250022004,PK K 1 2 3 4 5,27.9,287,"5,364",2.1,,,20.5
050160250022005,K 1 2 3 4 5,48.8,580,"5,364",4.1,,,20.5
050160250022009,K 1 2 3 4 5,13.4,612,"5,364",1.5,,,20.5
050160250022011,K 1 2 3 4 5,15.0,461,"5,364",1.1,,,20.5
050160250022016,K 1 2 3 4 5,18.5,644,"5,364",2.0,,,20.5
050160250022018,K 1 2 3 4 5,24.2,479,"5,364",3.5,,,20.5
050160260021006,PK 6 7 8,49.1,462,"1,433",40.0,,,20.5
050160260022001,PK K 1 2 3 4 5,68.1,499,"1,433",57.5,,,20.5
050160260022003,PK K 1 2 3 4 5,31.4,472,"1,433",20.6,,,20.5
050160270021005,6 7 8,17.0,435,"1,248",3.2,,,20.5
050160270022002,PK K 1 2,19.7,386,"1,248",2.6,,,20.5
050160270022004,3 4 5,18.5,427,"1,248",2.3,,,20.5
050160280021004,6 7 8,16.2,612,"1,718",8.2,,,20.5
050160280022002,K 1 2 3 4 5,21.5,410,"1,718",4.9,,,20.5
050160280022003,PK K 1 2 3 4 5,21.6,379,"1,718",7.7,,,20.5
050160280022006,K 1 2 3 4 5,22.4,317,"1,718",9.1,,,20.5
050160290022001,PK K 1 2 3,8.7,206,491,0.5,,,20.5
050160290022002,4 5 6 7 8,8.4,285,491,1.8,,,20.5
050160300021001,6 7 8,32.3,415,"1,126",2.7,,,20.5
050160300022002,PK K 1 2 3 4 5,29.7,337,"1,126",0.3,,,20.5
050160300022003,1 2 3 4 5,38.8,374,"1,126",4.5,,,20.5
050160310021001,6 7 8,46.9,309,907,22.3,,,20.5
