schid,nttkreadsch,nttkreaddist,nttkreadstate,nttkmathsch,nttkmathdist,nttkmathstate,tkreadsch,tkmathsch,tkreaddist,tkmathdist,tkreadstate,tkmathstate
260343250261001,0.8,1.8,4.4,0.8,1.8,4.4,99.2,99.2,98.2,98.2,95.6,95.6
260343250262002,5.4,1.8,4.4,5.4,1.8,4.4,94.6,94.6,98.2,98.2,95.6,95.6
260343270042002,4.5,4.5,4.4,4.5,4.5,4.4,95.5,95.5,95.5,95.5,95.6,95.6
260343280240001,5.7,2.5,4.4,2.7,1.3,4.4,94.3,97.3,97.5,98.7,95.6,95.6
260343280242004,0.0,2.5,4.4,0.0,1.3,4.4,100.0,100.0,97.5,98.7,95.6,95.6
260343370260001,0.9,0.4,4.4,0.0,0.0,4.4,99.1,100.0,99.6,100.0,95.6,95.6
260343370262006,0.0,0.4,4.4,0.0,0.0,4.4,100.0,100.0,99.6,100.0,95.6,95.6
260343470041001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
260343470042005,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
260621030260001,0.0,1.0,4.4,0.0,0.7,4.4,100.0,100.0,99.0,99.3,95.6,95.6
260621030261001,0.0,1.0,4.4,0.0,0.7,4.4,100.0,100.0,99.0,99.3,95.6,95.6
260621030262001,3.1,1.0,4.4,3.1,0.7,4.4,96.9,96.9,99.0,99.3,95.6,95.6
260621030262002,3.8,1.0,4.4,1.9,0.7,4.4,96.2,98.1,99.0,99.3,95.6,95.6
260621700260001,35.9,19.3,4.4,66.7,21.8,4.4,64.1,33.3,80.7,78.2,95.6,95.6
260621700261002,15.9,19.3,4.4,14.0,21.8,4.4,84.1,86.0,80.7,78.2,95.6,95.6
260621700262003,16.3,19.3,4.4,15.7,21.8,4.4,83.7,84.3,80.7,78.2,95.6,95.6
260621850260001,11.3,3.4,4.4,8.3,3.1,4.4,88.7,91.7,96.6,96.9,95.6,95.6
260621850261001,3.5,3.4,4.4,3.5,3.1,4.4,96.5,96.5,96.6,96.9,95.6,95.6
260621850262004,0.7,3.4,4.4,0.7,3.1,4.4,99.3,99.3,96.6,96.9,95.6,95.6
260621850262008,2.2,3.4,4.4,2.4,3.1,4.4,97.8,97.6,96.6,96.9,95.6,95.6
260850050260001,0.0,0.9,4.4,0.0,0.7,4.4,100.0,100.0,99.1,99.3,95.6,95.6
